"Step","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits__MAX"
"0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1","0.9801001966242335","0.966910417982366","0.9899685809615123","0.9201725116086132","0.897382556915717","0.9404264704149401","0.7845448734669734","0.7499849419031792","0.8243123488335323","0.5887670794818815","0.5427630585189867","0.6279989251395014","0.1505655028695564","0.09600816785773039","0.2298604830956775"
"2","0.9659834810295609","0.9464710664406626","0.9800391820903296","0.8949191945686128","0.8697936682007817","0.9090536255796642","0.7416735650536153","0.7045913134091817","0.7698184137807439","0.5464454792077387","0.506460558582347","0.5997263523533315","0.1525780125644329","0.09416551428235215","0.273250299586012"
"3","0.9567717232341859","0.9313468554590744","0.9741123161292976","0.8822404001041129","0.8558664154030093","0.9037168288758106","0.7266429616617783","0.6933630890328053","0.7671631513475229","0.5214765951952023","0.456431759614241","0.5677267486911743","0.14199472373039826","0.09157375263709831","0.2300415179707394"
"4","0.9483504571493958","0.9228489897206625","0.9712434275135644","0.8698827823655471","0.8326630105743027","0.8873517130106336","0.7143262899862829","0.6520606744603643","0.7549463258758704","0.5083129428320066","0.4526989867198731","0.5509707521905333","0.13690258116578832","0.08531018264623766","0.2106069464099762"
"5","0.9443160640648768","0.9243460712593563","0.9729620200859764","0.8658515428301734","0.8355904500939089","0.8903347943359393","0.708709557447331","0.6492453242246454","0.7550235405586918","0.503721504605512","0.44737909420030686","0.5612600876302896","0.13789894739713945","0.09365634847134505","0.20604594485321753"
"6","0.9387696231129214","0.9163787167575096","0.9651864465713502","0.8614874804154119","0.8344148683407131","0.8837748325174719","0.7037681806458705","0.6570749579335924","0.7360023036015922","0.4913248124732359","0.41906988266381856","0.537837106602601","0.13349476773488483","0.08657500398630587","0.22069215478092033"
"7","0.9359104029790141","0.9142081068727952","0.9592810523184364","0.857037804706426","0.815465889376073","0.87541447845425","0.6980498271618035","0.619136571491146","0.7480828359731858","0.48607907117165816","0.41128699522138384","0.5482476979383403","0.13187545234505157","0.0814905291601338","0.19503214357557735"
"8","0.930374332800747","0.9069251273346894","0.9568503579132996","0.8500771467000907","0.8184231844872882","0.8730536151148826","0.6919469169849828","0.6173936386452664","0.7432637849937072","0.48241623069047346","0.4189540357131597","0.5398928631476981","0.13157587079015787","0.08013730354845008","0.21747916791837268"
"9","0.9284141126474852","0.9065510431130083","0.9496489209634471","0.8488527861009538","0.8199507460663124","0.8662331815359119","0.6897997874519983","0.647860998320193","0.736686062885723","0.47671932267560474","0.42040312776798444","0.527883904009261","0.13481379695227227","0.0826552822764531","0.2256060884743418"
"10","0.9226793881125711","0.8990697954974594","0.9489227798912867","0.8457163163788646","0.8221358193425911","0.8661001577990662","0.6888094317656038","0.622851856756701","0.7323443804243892","0.4778145069029578","0.4119434354930214","0.5352648899620179","0.13260077485704813","0.08134155621725193","0.21304630434046187"
"11","0.9253479024752151","0.9076273528664767","0.9489281016994462","0.8494692724002235","0.8036293158682699","0.8699640041500322","0.6904668596257129","0.6253907689567384","0.7223260365981947","0.47794653796044173","0.43473559546493623","0.5185014305096779","0.12996818765504634","0.09970703068181744","0.16468252602563796"
"12","0.9212855066115221","0.8913915866946747","0.9452243546576593","0.8413712341244903","0.8073365465284853","0.8611283136565553","0.6824154505079163","0.6269666877604289","0.7386998448182225","0.4601733183163163","0.4113263218138748","0.5118636589315168","0.12293565731250858","0.08424757446912093","0.15297206030791594"
"13","0.9193428110520049","0.8881684484560552","0.9494493377121517","0.841784572642265","0.8180946742351747","0.8602164506359138","0.6864267606369722","0.6409248914910657","0.7203227626876172","0.4712340279423624","0.43760031456147264","0.514782593408807","0.13132590128247257","0.10407185624311632","0.16049671742512656"
"14","0.9183595850979402","0.8923626584825166","0.9418035654408909","0.8396098800659747","0.7991044483990862","0.8572044504520665","0.6852685630834414","0.6511563953527146","0.7149642959353713","0.4652000009012832","0.4277231351875346","0.5182999737339182","0.13293841515198354","0.1055811542280442","0.15807679082478815"
"15","0.9167816593048572","0.8865659895064193","0.9412234369156429","0.8375000077384342","0.807593500378707","0.8533086857858322","0.6806845866197856","0.6293674708306269","0.722454051190208","0.458268646515248","0.41944437839468013","0.5153160234015333","0.1304217570742569","0.08075415633646157","0.16153055977583305"
"16","0.9164866559432612","0.8854563667675976","0.9404224139364147","0.8380063411831957","0.8187028068602882","0.8596742202575518","0.6831101281123256","0.6255275155648509","0.7312933214294335","0.45811003725065264","0.4076821180751814","0.5175213455012717","0.1268338002715572","0.09756856296463375","0.1672277014861227"
"17","0.9140653600952262","0.889496087348691","0.9339854188697906","0.8344629744555581","0.8107152501753775","0.8531796765434904","0.6801304812891573","0.6281494407169784","0.7236647006594956","0.45684779289927857","0.4113187110557074","0.51285438268663","0.13215009979165915","0.0826294081785971","0.1684897395742832"
"18","0.9107108180925311","0.8819015596564935","0.930495085481992","0.8341269377178859","0.8100410333285593","0.8551954656932","0.6774510676781337","0.6164589270527945","0.7255925813241352","0.4556340706797363","0.3973037260015353","0.5075183595263723","0.13246342168475275","0.09455521134821797","0.18149058440391663"
"19","0.9143155075030803","0.8928668865452727","0.9368117925277687","0.8366776153403078","0.8169462224999755","0.8555372887589292","0.6814333932567417","0.6386657606360708","0.7185452602853615","0.45844288867216243","0.39914185158986154","0.5187760924876167","0.1319300144640912","0.09611696182732576","0.18003575642673467"
"20","0.9105273635592479","0.8836378851403923","0.9316625234596785","0.8339807175363829","0.8094261485753312","0.8588666401388928","0.676570551550057","0.611083200592166","0.7206064940846025","0.45175567433321745","0.3936778012072151","0.5037407288349259","0.13025929007026846","0.09513761566291774","0.17008142438533452"
"21","0.9088985040828124","0.8859407730001096","0.9294620152289165","0.8334158202646066","0.8065270968164888","0.8544415119413111","0.6767230954094948","0.6223359690576596","0.7133693385738666","0.45025472388021515","0.4020877251172343","0.5087200221830811","0.13296111952238548","0.10041116440886094","0.16636124860314172"
"22","0.906893062240868","0.8752934135573334","0.9352818138812642","0.8313929824847406","0.7998034204852635","0.853893640753204","0.6751929975932102","0.6273267754254438","0.7195486419570647","0.44628321287565303","0.39215897360918417","0.516817022126854","0.12863374341791645","0.09649551354121108","0.16319576958413648"
"23","0.9075223532246781","0.8840485522906896","0.9361728206033861","0.8323992127937103","0.8127184386081244","0.8525195923953567","0.6803023918136049","0.627484656991014","0.7109384155978408","0.45348968329786626","0.3973666271502931","0.5040834480713348","0.13530479890544606","0.10014255014062999","0.1788175585532263"
"24","0.908404207029269","0.8831477019820841","0.9265478644679574","0.8318426206326566","0.8046293552519184","0.8540771725186961","0.6776344945632037","0.6265370752608963","0.7214793445943364","0.44948682068916296","0.38999009002675306","0.5110740134239549","0.1307807785994724","0.10331688201797036","0.1615654034794342"
"25","0.904215334501535","0.8820715286805872","0.9286707498816793","0.829090981281017","0.8015132898327676","0.85080619729126","0.6749503819862288","0.6249426107974438","0.7096844246676061","0.44448188726680327","0.38985766730616067","0.5017290573642901","0.12868231695882598","0.10738643702657101","0.15420579448153046"
"26","0.9062803067409824","0.8824870641414209","0.9296196421145515","0.8312370444027911","0.8090988593583559","0.8545039415247229","0.6738123492994451","0.6147922472143436","0.7233934496221066","0.44446932507618975","0.397885328905838","0.5120225767660416","0.13087323873003448","0.10030508595767862","0.16805822461124625"
