"Name","Created","Runtime","End Time","Hostname","ID","Notes","GPU Type","State","Updated","Tags","CKAS/layer1","CKAS/layer2","CKAS/layer3","CKAS/layer4","CKAS/layer5","CKAS/layer6","TEST/accuracy","TRAIN/accuracy","TRAIN/loss"
"vgg16 imagenet shuffle_degree: 2 5 fintuning with 5000 samples","2024-01-19T00:58:48.000Z","3840","2024-01-19T02:02:48.000Z","matar","l1mynfd8","-","NVIDIA TITAN RTX","finished","2024-01-19T02:02:48.000Z","","0.9989458007512728","0.9995086293093391","0.9993911357295472","0.9131464663226392","0.9121421953345616","0.33414501267135766","0","99.62","0.03123690062766052"
"vgg16 imagenet shuffle_degree: 2 4 fintuning with 5000 samples","2024-01-18T23:52:12.000Z","3981","2024-01-19T00:58:33.000Z","matar","12lilmqe","-","NVIDIA TITAN RTX","finished","2024-01-19T00:58:33.000Z","","0.9989144312093948","0.9995382842415652","0.9992706584708394","0.8866395108784323","0.9060027383602348","0.35380713455491153","0","99.56","0.02940974742541932"
"vgg16 imagenet shuffle_degree: 2 3 fintuning with 5000 samples","2024-01-18T22:48:35.000Z","3809","2024-01-18T23:52:04.000Z","matar","g3ncvgbd","-","NVIDIA TITAN RTX","finished","2024-01-18T23:52:04.000Z","","0.999151714774203","0.9995217297334764","0.9991946493169483","0.8919830297530476","0.9142785101698024","0.3378536823057419","0","99.64","0.028659730971713735"
"vgg16 imagenet shuffle_degree: 2 2 fintuning with 5000 samples","2024-01-18T21:43:53.000Z","3874","2024-01-18T22:48:27.000Z","matar","3pi1q8jw","-","NVIDIA TITAN RTX","finished","2024-01-18T22:48:27.000Z","","0.9985428973221332","0.9992114562228384","0.99928373910158","0.8899440673516172","0.9180603465135514","0.32456567019186877","0","99.62","0.03162997456231884"
"vgg16 imagenet shuffle_degree: 2 1 fintuning with 5000 samples","2024-01-18T20:41:39.000Z","3726","2024-01-18T21:43:45.000Z","matar","3kayshsu","-","NVIDIA TITAN RTX","finished","2024-01-18T21:43:45.000Z","","0.9992903623969152","0.9994967317350784","0.999169756200501","0.8990324924965378","0.908058892278992","0.3534816727528324","0","99.7","0.03277893319346343"
"vgg16 imagenet shuffle_degree: 4 5 fintuning with 5000 samples","2024-01-18T19:37:39.000Z","3816","2024-01-18T20:41:15.000Z","matar","3513q8m4","-","NVIDIA TITAN RTX","finished","2024-01-18T20:41:15.000Z","","0.9989458007512728","0.9995086293093391","0.9993911357295472","0.9131464663226392","0.9121421953345616","0.33414501267135766","0","99.62","0.03123690062766052"
"vgg16 imagenet shuffle_degree: 4 4 fintuning with 5000 samples","2024-01-18T18:34:38.000Z","3771","2024-01-18T19:37:29.000Z","matar","19wne74c","-","NVIDIA TITAN RTX","finished","2024-01-18T19:37:29.000Z","","0.9989144312093948","0.9995382842415652","0.9992706584708394","0.8866395108784323","0.9060027383602348","0.35380713455491153","0","99.56","0.02940974742541932"
"vgg16 imagenet shuffle_degree: 4 3 fintuning with 5000 samples","2024-01-18T17:30:57.000Z","3812","2024-01-18T18:34:29.000Z","matar","3iz8hkzl","-","NVIDIA TITAN RTX","finished","2024-01-18T18:34:29.000Z","","0.999151714774203","0.9995217297334764","0.9991946493169483","0.8919830297530476","0.9142785101698024","0.3378536823057419","0","99.64","0.028659730971713735"
"vgg16 imagenet shuffle_degree: 4 2 fintuning with 5000 samples","2024-01-18T16:25:36.000Z","3911","2024-01-18T17:30:47.000Z","matar","32arjmq0","-","NVIDIA TITAN RTX","finished","2024-01-18T17:30:47.000Z","","0.9985428973221332","0.9992114562228384","0.99928373910158","0.8899440673516172","0.9180603465135514","0.32456567019186877","0","99.62","0.03162997456231884"
"vgg16 imagenet shuffle_degree: 4 1 fintuning with 5000 samples","2024-01-18T15:14:46.000Z","4236","2024-01-18T16:25:22.000Z","matar","pj8jf9eq","-","NVIDIA TITAN RTX","finished","2024-01-18T16:25:22.000Z","","0.9992903623969152","0.9994967317350784","0.999169756200501","0.8990324924965378","0.908058892278992","0.3534816727528324","0","99.7","0.03277893319346343"
